dc.title,dc.contributor.author,dc.contributor,dc.contributor.editor,dc.subject.frascati,dc.subject.free,dc.description,dc.publisher,dc.date,dc.type,Orfeo.peerreviewed,dc.identifier.isbn,dc.identifier.issn,dc.identifier.publisherlink,dc.identifier.doi,dc.identifier.isi,dc.identifier.pubmed,dc.identifier.url,dc.identifier.scopus,dc.identifier.worldcat,dc.identifier.limo,dc.identifier.depositnumber,dc.source.title,dc.source.volume,dc.source.issue,dc.source.page,dc.relation.ispartofseries,dc.identifier.citation,dc.language,dc.relation.project,dc.audience,dc.coverage.spatial,dc.coverage.temporal,file
"Evaluation of mini-barcodes for the identification of tephritid fruit flies. ","Van Houdt, J.||Breman, F.C.||Virgilio, M.||Backeljau , T.||De Meyer, M.","","","","Invertebrates||Vertebrates","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","Presented by Marc de Meyer at the 23rd International Congress of Entomology (Durban, South Africa)","","","1531","","","EN","","Scientifique","","",""
"Tree diversity, composition, forest structure and aboveground biomass dynamics after single and repeated fire in a Bornean rain forest.","Slik, J.W.F||Bernard, C.S.||van Beek, M.||Breman, F.C.||Eichhorn, K.A.O","","","","Invertebrates","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Oecologia","158","","579-588","","","EN","","Scientifique","","",""
"Wood density as a conservation tool: quantification of disturbance and identification of conservation priority areas in tropical forests.","Slik, J.W.F||Bernard, C.S.||Breman, F.C.||van Beek, M.||Salim, A.||Sheil, D.","","","","Invertebrates","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Conservation Biology","22","","1299-1308","","","EN","","Scientifique","","",""
"Bunch yield response of two cultivars of plantain (Musa spp. AAB, Subgroups French and False Horn) to hot-water treatment and fertilizer application planted after forest and bush/grass fallow","Hauser, S.||Mekoa, C.||Jacobsen, K.","","","","Biological collection and data management","<p>Effects of fallow type, sucker sanitation (hot-water treatment, HWT) and fertilizer application on yield, root and corm health of two plantain cultivars were investigated. Most yield parameters were strongest affected by fallow type with more producing plants, higher bunch mass and yield after forest clearing than in bush/grass fallow. The second most important factor was HWT with more producing plants (52.3%) than in control (35.8%, p &lt; 0.0001). Fertilizer application increased the proportion of producing plants by 9%, p &lt; 0.018 and yield from 4.08-5.79 Mg ha<sup>-1</sup>. Combined HWT and fertilizer had strong synergistic effects. Cultivar interacted with fallow and HWT: in bush/grass fallow yield did not differ between cultivars (2.17 Mg ha<sup>-1</sup>); in forest fallow Essong produced 57% (9.4 Mg ha<sup>-1</sup>) more than Ebang (6.0 Mg ha<sup>-1</sup>, p &lt; 0.001). Essong yielded 65% more after HWT than Ebang (8.0 versus 4.9 Mg ha<sup>-1</sup>, p &lt; 0.001), yet not when untreated. A limited sink capacity of Ebang is likely to constrain yield increases. HWT improved root and corm health and was better in forest than in bush/grass land. In bush/grass fallow no treatment attained yields as high as in forest even when untreated and not fertilized. Soil chemical properties were not correlated with yield.  </p>","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Archives of Agronomy and Soil Science","54","","541-556","","","EN","","Scientifique","","",""
"The embryonic cell lineage of the nematode Rhabditophanes sp.","Houthoofd, W.||Willems, M.||Jacobsen, K.||Coomans, A.||Borgonie, G.","","","","Biological collection and data management","<p>One of the unique features of the model organism Caenorhabditis elegans is its invariant development, where a stereotyped cell lineage generates a fixed number of cells with a fixed cell type. It remains unclear how embryonic development evolved within the nematodes to give rise to the complex, invariant cell lineage of C. elegans. Therefore, we determined the embryonic cell lineage of the nematode,<span style="font-style: italic;"> </span>Rhabditophanes sp. (family Alloionematidae) and made detailed cell-by-cell comparison with the known cell lineages of C. elegans, Pellioditis marina and Halicephalobus gingivalis. This gave us a unique data set of four embryonic cell lineages, which allowed a detailed comparison between these cell lineages at the level of each individual cell. This lineage comparison revealed a similar complex polyclonal fate distribution in all four nematode species (85% of the cells have the same fate). It is striking that there is a conservation of a 'C. elegans' like polyclonal cell lineage with strong left-right asymmetry. We propose that an early symmetry-breaking event in nematodes of clade IV-V is a major developmental constraint which shapes their asymmetric cell lineage.</p>","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","International Journal of Developmental Biology","52","","963-967","","","EN","","Scientifique","","",""
"The first, new species of the millipede family Pyrgodesmidae to be recorded in Vanuatu, Melanesia, southwestern Pacific (Diplopoda: Polydesmida).","Golovatch, S.||Geoffroy, JJ.||Mauries, JP.||Vandenspiegel, D.","","","","Biological collection and data management","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Arthropoda Selecta","17 (3-4)","","145-151","","","EN","","Scientifique","","",""
"Crossing Borders II: new data on material and immaterial culture in the Luba area (Katanga, DRC)","Livingstone Smith, A.||Van der Veken, A.","","","","Culture & Society||Heritage studies","","","2008","pre-prints/ working papers","no","","","","","","","http://cohesion.rice.edu/centersandinst/safa/emplibrary/AlphabeticalProceedings2008.pdf","","","","","","","","","","","EN","","Scientifique","","",""
"Morphometric variation in Hylomyscus alleni and H.stella (Rodentia: Muridae) and descriptiion of a new species. ","Nicolas, V.||Wendelen, W.||Barriere, P.||Dudu, A.||Colyn, M.","","","","Biological collection and data management","We compared 7 populations of woodmice, Hylomyscus stella (Thomas, 1911), from west-central, east-central, and east Africa using traditional morphometric data of the cranium. Our results are congruent with previous molecular and cytogenetic data, and demonstrate that specimens previously identified as H. stella represent 2 cryptic species: H. stella from east-central and east Africa, and Hylomyscus sp. nov. from west-central Africa. According to current knowledge, the new species of Hylomyscus is a forest-dwelling species inhabiting the region between the Sanaga River and the Oubangui and Congo rivers in Cameroon, Central African Republic, Gabon, and Republic of the Congo. It is sympatric, and even syntopic, with the morphologically closely related species H. alleni. These 2 cryptic species can be distinguished by traditional morphometric analysis of the cranium and by examination of molecular data. ","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Journal of Mammalogy","89 (1)","","222-231","","","EN","","Scientifique","","",""
"The presence of Praomys, Lophuromys and Deomys species (Muridae, Mammalia) in the forest blocks separated by the Congo River and its tributaries (Kisangani region, Democratic Republic of Congo) ","Katuala, P.||Kennis, J.||Nicolas, V.||Wendelen, W.||Hulselmans, J.||Verheyen, E.||Van Houtte, N.||Dierckx, T.||Dudu, A.||Leirs, H.","","","","Biological collection and data management","Praomys (four species), Lophuromys (four) and Deomys (one) are among the most common Muridae in the Kisangani region. To establish whether or not rivers constitute dispersal barriers for these rodents, we investigated the presence of these genera and their species in eight localities that are either separated by the Congo River or its tributaries. A total of 42,466 trapping nights resulted in the collection of 1185 Praomys, 233 Lophuromys and 209 Deomys ferrugineus. We observed that in almost all cases the studied species appear to have restricted distribution ranges, and that it is likely that the importance of the rivers as a barrier differs for the studied species. For example, P. misonnei was only collected from the right bank of the Congo, while P. lukolelae appears to be restricted to the left bank. In contrast, Praomys identified as P. mutoni or as members of the P. jacksoni species complex are collected on both sides of the Congo River. In contrast, all Lophuromys species were collected in a limited number of sampling sites only. L. dudui and L. luteogaster were only collected along the right bank of the Congo River, and the latter species appears to be restricted to the right bank of the Lindi River. L. huttereri and L. rita are only detected on the left bank of the Congo River. However, additional sampling is required to confirm that D. ferrugineus and L. luteogaster (so far both species have only been recorded on the right bank) do not occur in Bomane on the right bank of the Aruwimi (Ituri) River. In agreement with earlier findings for larger mammals, and pending additional taxonomical work on the P. jacksoni species complex, our findings confirm that the Congo River constitutes a barrier that limits the dispersal of all studied murids, except P. mutoni ","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Mammalia","72 (3)","","223-228","","","EN","","Scientifique","","",""
"Resolving phonological variability in Bantu lexical reconstructions: the case of 'to bake in ashes'","Ricquier, B.||Bostoen, K.","","","","Heritage studies","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Africana Linguistica","XIV","","109-149","","","EN","","Scientifique","","",""
"Noms et usages des plantes utiles chez les Nsong (RD Congo, Bandundu, bantu B85f).","Koni Muluwa, J.||Bostoen, K.","","","","Culture & Society","","University of Gothenburg, Department of Oriental and African Languages","2008","Ouvrage peer reviewed","yes","1404-8523","","","","","","","","","","","","vol. 6","","65","Göteborg Africana Informal Series","","FR","","Scientifique","","",""
"Un recueil de proverbes mbuun d'Imbongo (RD Congo, bantu B87)","Koni Muluwa, J.||Bostoen, K.","","","","Culture & Society","","","2008","Article scientifique non peer reviewed","no","","","","","","","","","","","","Annales Aequatoria","29","","381-423.","","","FR","","Scientifique","","",""
"The Proterozoic Kibaran Belt in central Africa; intracratonic 1375 Ma emplacement of a LIP","Tack, L.||Wingate, M.||De Waele, B.||Meert, J.||Belousova, E.||Griffin, W.||Tahon, A.||Fernandez-Alonso, M.||Baudet, D.||Cutten , H.||Dewaele, S.","","","","Geodynamics and mineral resources||PROMINES","","International Geological Congress","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","33rd international geological congress; Oslo, Norway","","","","","","EN","","Scientifique","","",""
" The Proterozoic Kibaran Belt in Central Africa: intracratonic 1375 Ma emplacement of a LIP ","Tack, L.||Wingate, M.||De Waele, B.||Meert, J.||Griffin, B.||Belousova, E.||Tahon, A.||Fernandez-Alonso, M.||Baudet, D.||Cutten , H.||Dewaele, S.","","","","PROMINES","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","22nd Colloquium African Geology (CAG22), Hammamet, Tunisia","","","","","","EN","IGCP 440; Assembly and Breakup of the Rodinia Supercontinent ( RMCA )","Scientifique","","",""
"Nesogordonia kabingaensis (K.Schum.) Capuron ex. R.Germ.: anatomie","Banak, L.N.||Beeckman, H.||Gasson, P.E.","","Louppe D., Oteng-Amoako A.A., Brink M.","","Wood biology","","Fondation PROTA, Backhuys Publishers, CTA","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Prota - Ressources végétales de l'Afrique tropicale","7(1)","","442","Bois d'oeuvre 1","","FR","","Scientifique","","",""
" Identifying active normal faults in the Burdur-Isparta region (SW Turkey): remote sensing, surface geology and near-surface geophysics "," Similox-Tohon, D.||Fernandez-Alonso, M.||Vanneste, K.||Waelkens, M.||Muchez , P.||Sintubin, M.","","P. Degryse and M. Waelkens","","PROMINES","","Leuven University press","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Sagalassos VI. Geo- and bio-archaeology at Sagalassos and in its territory","","","75-130","","","EN","","Scientifique","","",""
" An integrated neotectonic study of the Çanakli basin (SW Turkey): remote sensing, surface geology and near-surface geophysics "," Similox-Tohon, D.||Fernandez-Alonso, M.||Vanneste, K.||Waelkens, M.||Muchez , P.||Sintubin, M.","","P. Degryse and M. Waelkens","","PROMINES","","Leuven University press","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Sagalassos VI. Geo- and bio-archaeology at Sagalassos and in its territory","","","131-153","","","EN","","Scientifique","","",""
"Testing diagnostic geomorphological criteria of active normal faults in the Burdur-Isparta region (SW Turkey) ","Similox-Tohon, D.||Fernandez-Alonso, M.||Waelkens, M.||Muchez , P.||Sintubin, M.","","P. Degryse and M. Waelkens","","PROMINES","","Leuven University press","2008","Partie douvrage peer reviewed","yes","","","","","","","","","","","","Sagalassos VI. Geo- and bio-archaeology at Sagalassos and in its territory","","","53-74","","","EN","","Scientifique","","",""
"Silicon and germanium uptake and transport by plants using Ge/Si ratio and Si isotopes","Opfergelt , S.||Delvigne, C.||Cardinal, D.||Delvaux, B.||André, L.","","","","Surface environments and collection management","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","Silicon in Agriculture Conference","","","","","","EN","","Scientifique","","",""
"Silicon cycle in weathering sequences of volcanic soils in Cameroon using <SPAN style="FONT-FAMILY: Symbol">d</SPAN><SUP>30</SUP> Si and Ge/Si","Opfergelt, S.||Delvaux, B.||Cardinal, D.||Delvigne, C.||André, L.","","","","Surface environments and collection management","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","Goldschmidt 2008","","","","","","EN","","Scientifique","","",""
"FishBase: the on-line answer to ichthyological issues.","Boden, G.||Musschoot, T.||Snoeks, J.","","","","Vertebrates","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","VLIZ Young Scientists' Day, Brugge, Belgium, 29 February 2008","","","32","","","EN","","Scientifique","","",""
"Training and research in African Ichthyology at the Royal Museum for Central Africa.","Musschoot, T.||Boden, G.||Snoeks, J.","","","","Vertebrates","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","Fourth International Conference of the Pan African Fish and Fisheries Association, Addis Ababa, Ethiopia","","","121","","","EN","","Scientifique","","",""
"FishBase and African Ichthyology.","Boden, G.||Musschoot, T.||Snoeks, J.","","","","Vertebrates","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","Fourth International Conference of the Pan African Fish and Fisheries Association, Addis Ababa, Ethiopia","","","26","","","EN","","Scientifique","","",""
"Designation of a neotype for Synodontis schall (Bloch and Schneider, 1801) and description of two new species of Synodontis (Siluriformes: Mochokidae).","Musschoot, T.||Lalèyè, P.","","","","Vertebrates","","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","Journal of Natural History","42(17-18)","","1303-1331","","","EN","","Scientifique","","",""
"Is the biodiversity of moths in Africa still a black hole or is it becoming a little bit greyish?","De Prins, J.","","","","Invertebrates","","","2008","Colloque et congrès scientifique","yes","","","","","","","","","","","","XXth International Congress of Zoology (2629 August, 2008","","","120","","","EN","","Scientifique","","",""
"Preliminary molecular phylogeny of the Gracillarioidea: Evidence from 8 genes","Kawahara, A.||Regier, J.||Mitter, C.||Davis, D.||De Prins, J.||Lopez-Vaamonde, C.||Wagner, D.","","","","Invertebrates","","","2008","Colloque et congrès scientifique","yes","","","","","","","","","","","","American Lepidopterists' Society Meeting","","","","","","EN","","Scientifique","","",""
"The biodiversity of moths in Luki-Mayumbe biosphere reserve","De Prins, J.","","","","Invertebrates","","Royal Museum for Central Africa","2008","Colloque et congrès scientifique","yes","","","","","","","","","","","","2nd Luki Symposium","","","","","","EN","","Scientifique","","",""
"A grammar of Makwe. Palma, Mozambique.","Devos, M.","","","","Culture & Society","","Lincom Europe","2008","Ouvrage non peer reviewed","no","","","","","","","","","","","","","","","","","","EN","","Scientifique","","",""
"Parasite evolution and speciation: comparing monogenean flatworms in cichlid and goby species flocks","Vanhove, M.||Huyse, T.||Snoeks, J.||Volckaert, F.","","","","Invertebrates||Vertebrates","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","15th Benelux Congress of Zoology","","","","","","EN","","Scientifique","","",""
"Adaptation, speciation, and parasites. Part II: Cichlids and Gobies","Vanhove, M.||Huyse, T.||Raeymaekers, J.||Snoeks, J.||Volckaert, F.","","","","Invertebrates||Vertebrates","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","International Symposium of the Fisheries Society of the British Isles. Parasites as Agents of Selection in Fish: from genes to ecosystems","","","","","","EN","","Scientifique","","",""
"Adaptation, speciation, and parasites. Part I: three-spined sticklebacks","Raeymaekers, J.||Thiercelin, N.||Huyse, T.||Vanhove, M.||Volckaert, F.","","","","Invertebrates","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","International Symposium of the Fisheries Society of the British Isles. Parasites as Agents of Selection in Fish: from genes to ecosystems","","","","","","EN","","Scientifique","","",""
"L'autre école des femmes. Figures féminines du Cameroun","Baeke, V.","","Christiane Falgayrettes-Leveau","","Heritage studies","","Editions Dapper","2008","Partie douvrage non peer reviewed","no","","","","","","","","","","","","Femmes dans les Arts d'Afrique","","","195-229","","","FR","","Scientifique","","",""
"Femmes en colonie. Congo belge et Ruanda-Urundi, 1885-1962","Cornet, A.","","","","History & politics","","Cegesoma","2008","Article scientifique non peer reviewed","no","","","","","","","","","","","","Bulletin du Ceges","41","","35-37","","","FR","","Scientifique","","",""
"Probing art with CT scan.","Bouttiaux, A.-M.||Ghysels, M.","","","","Heritage studies","","","2008","Article scientifique non peer reviewed","no","","","","","","","","","","","","Arts & Cultures","","","231-249","","","EN","","Scientifique","","",""
"Lemprise des cours de chefs et de dignitaires. Afrique centrale.","Bouttiaux, A.-M.","","","","Heritage studies","","5Continents Editions","2008","Partie douvrage non peer reviewed","no","9788874394777","","","","","","","","","","","Costumes et textiles dAfrique des Berbères aux Zulu","","","","","","FR","","Scientifique","","",""
"Explorer lart au scanner à rayons X. ","Bouttiaux, A.-M.||Ghysels, M.","","","","Heritage studies","","","2008","Article scientifique non peer reviewed","no","","","","","","","","","","","","Arts & Cultures","","","231-249","","","EN","","Scientifique","","",""
"High genetic diversity in Schistosoma mansoni in the Senegal River Basin, a population genetic analysis 20 years after the epidemic outbreak","Huyse, T.||Maes, G.||Geldof, S.||Vereecken, K.||Djibril, D.||Rollinson, D.||Webster, B.||Polman, K.","","","","Invertebrates","","","2008","Article scientifique non peer reviewed","no","","0002-9637","","","","","","","","","","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","79","","86-87","","","EN","","Scientifique","","",""
"Community structure, population structure and topographical   specialisation of Gyrodactylus (Monogenea) ectoparasites living on   sympatric stickleback species","Raeymaekers, J.||Huyse, T.||Malfait, L.||Hellemans, B.||Volckaert, F.","","","","Invertebrates","In order to disentangle the contribution of host and parasite biology to host specificity, we compared the structure and population dynamics of the Gyrodactylus (von Nordmann, 1832) flatworm community living oil sympatric three-spined Gasterosteus aculeatus L. and nine-spined Pungitins pungitius (L.) stickleback. Between April 2002 and March 2003, a small lowland creek was sampled monthly. Species identity of about 75% of the worms per host was determined with a genetic nuclear marker (ITSI). Each stickleback species hosted a characteristic gill- and in-parasitic Gyrodactylus: G. arcuatus Bychowsky, 1933 and G. gasterostei Glaser, 1974 respectively infecting the three-spined stickleback, with G. rarus Wegener, 1910 and G. pungitii Malmberg, 1964 infecting the nine-spined stickleback. Host size and seasonal dynamics were strong determinants of parasite abundance. A strong interaction between host and parasite species determined infection levels and affected three levels of parasite organisation: community structure, population structure and topographical specialisation. Community and population structure were shaped by asymmetric cross-infections, resulting in a net transmission of the Gyrodactylus species typical of the nine-spined stickleback towards the three-spined stickleback. I-lost density was not a major determinant of parasite exchange. Aggregation and topographical specialisation of the Gyrodactylus species of the three-spined stickleback were more pronounced than that of the nine-spined stickleback.","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","FOLIA PARASITOLOGICA","55","","187-196","","","EN","","Scientifique","","",""
"Taxonomy and faunistics of the helminth parasites of Clarias gariepinus   (Burchell, 1822), and Oreochromis mossambicus (Peters, 1852) from   temporary pans and pools in the save-runde river floodplain, Zimbabwe","Barson, M.||Bray, R.||Ollevier, F.||Huyse, T.","","","","Invertebrates","Two freshwater fish species, Clarias gariepinus and Oreochromis mossambicus, were collected from pans, dry-season pools, and tributaries of the Save and Runde rivers in the southeastern lowveld of Zimbabwe from December 2004 until june 2006. Helminth parasites infecting these fish were isolated from the gills, skin, muscles, body cavity, gall bladder, stomach, and intestines and were examined microscopically. Adult helminths were collected from the darter, Anhinga melanogaster, a piscivorous bird, to compare and possibly link them to the larvae recovered from fish. Stomach contents of the birds were analyzed, and their prey fish species were identified. Larval helminths collected include digenean metacercariae (clinostomes and strigeids), larval cestodes (gryporhynchids), and juvenile nematodes (Contracaecum). Adult worms include the monogeneans Macrogyrodactylus clarii, Macrogyrodactylus karibae, and Macrogyrodactylus congolensis; the digenean Clinostomum complanatum; the nematodes Paracamallanus cyathopharynx, Contracaecum rudolphi, Contracaecum multipapillatum, and Contraceacum rodhaini; and the cestodes Polyonchobothrium clarias and Echinorhynchotaenia tritesticulata. Many of these observations are the first record of that particular parasite species in Zimbabwe or southern Africa. Morphological measurements were made and compared with the original species description, and some unique morphological features are here described.","","2008","Article scientifique peer reviewed","yes","","","","","","","","","","","","COMPARATIVE PARASITOLOGY","75","","228-240","","","EN","","Scientifique","","",""
"The mitochondrial genome of Gyrodactylus derjavinoides (Platyhelminthes :   Monogenea) - A mitogenomic approach for Gyrodactylus species and strain   identification","Huyse, T.||Buchmann, K.||Littlewood, D.","","","","Invertebrates","Systematists and evolutionary biologists are constantly on the lookout for new sources of characters to discriminate amongst taxa and estimate interrelationships within and between taxa. Entire mitochondrial genomes provide a wealth of data, both at the nucleotide and amino acid level. Molecular markers are of particular utility when applied to small, morphologically conserved taxa, as is the case for many monogenean ectoparasites of fish. Gyrodactylus species display a considerable degree of anatomical conservatism, complicating diagnostics based solely on morphology, and some are significant pests of wild and cultured fish. Here we sequenced the complete mitochondrial genome of Gyrodactylus derjavinoides Malmberg, Collins, Cunningham & Behiar 2007, one of the most frequently found gyrodactylid species on salmonids in Scandinavia, and compared it with the recently published genomes of Gyrodactylus salaris Malmberg, 1957 and Gyrodactylus thymalli Zitnan 1960. Through comparative sliding window analysis we identified regions of high sequence variability and designed new primer sequences. In total, 6 new primer pairs have been developed, amplifying fragments of cox1, cox3, nad1, nad2, nad4, nad5 and atp6. Together, they amplify regions capturing almost half the nucleotide variability present in the complete mitochondrial genome. These degenerate primers should also work for other Gyrodactylus species parasitizing salmonids. In addition, we developed a multiplex assay that simultaneously amplifies four fragments in a single PCR reaction. Besides the diagnostic value, these fragments can be used for studying the transmission dynamics of Gyrodactylus, providing crucial information for an improved understanding of the spread and epidemiology of these important fish pathogens. (c) 2008 Elsevier B.V. All rights reserved.","","2008","Article scientifique peer reviewed","yes","","","","10.1016/j.gene.2008.03.008","","","","","","","","GENE","417","","27-34","","","EN","","Scientifique","","",""
"The genetic legacy of polyploid Bolivian Daphnia: the tropical Andes as a   source for the North and South American D. pulicaria complex","Mergeay, J.||Aguilera, M.||Declerck, S.||Petrusek, A.||Huyse, T.||De Meester, L.","","","","Invertebrates","We investigated genetic variation in asexual polyploid members of the water flea Daphnia pulex complex from a set of 12 Bolivian high-altitude lakes. We used nuclear microsatellite markers to study genetic relationships among all encountered multilocus genotypes, and combined this with a phylogenetic approach using DNA sequence data of three mitochondrial genes. Analyses of mitochondrial gene sequence divergence showed the presence of three very distinct clades that likely represent cryptic undescribed species. Our phylogenetic results suggest that the Daphnia pulicaria group, a complex of predominantly North American species that has diversified rapidly since the Pleistocene, has its origin in South America, as specific tests of topology indicated that all three South American lineages are ancestral to the North American members of this species group. A comparison between variation of nuclear and mitochondrial markers revealed that closely related polyploid nuclear genotypes sometimes belonged to very divergent mitochondrial lineages, while distantly related nuclear genotypes often belonged to the same mitochondrial lineage. This discrepancy suggests that these South American water fleas originated through reciprocal hybridization between different endemic, sexually reproducing parental lineages. It is also likely that polyploidy of the investigated lineages resulted from this hybridization. Nevertheless, no putative diploid parental lineages were found in the studied region.","","2008","Article scientifique peer reviewed","yes","","","","10.1111/j.1365-294X.2007.03679.x","","","","","","",""," MOLECULAR ECOLOGY","17","","1789-1800","","","EN","","Scientifique","","",""
"The first record of polystomes (Monogenea : Polystomatidae) from   caecilian hosts (Amphibia : Gymnophiona), with the description of a new   genus and two new species","Du Preez, L.||Wilkinson, M.||Huyse, T.","","","","Invertebrates","New taxa are proposed for Nanopolystoma lynchi n. g., n. sp. from the urinary bladder and phallodeum of the caecilian Caecilia cf. pachynema and N. brayi. n. sp. from the urinary bladder of C. gracilis, both from South America. These are the first species of polystomatids to be described from caecilian hosts. The parasites are small with a maximum body length of 2 mm. The two gut caeca are not confluent posteriorly and have neither diverticula nor anastomoses. The haptor bears six well-developed suckers and one pair of hamuli. The single follicular testis lies in the mid-body and the ovary is small. Vaginae are present. A single large, operculate egg lies in the short uterus, which leads to an armed genital bulb. Neither the nature of the oncomiracidium nor the phylogenetic position of these worms is known. Nanopolystoma n. g. shares various morphological features with other polystomatid genera; however, the non-confluent gut-caeca lacking diverticula and the presence of skeletal elements in the haptoral suckers place it with the chelonian polystomes of the subfamily Polystomoidinae. These findings suggest that the caecilian host species are probably semi-aquatic. More polystomatid species are expected to be found in association with other species of Caecilia.","","2008","Article scientifique peer reviewed","yes","","","","10.1007/s11230-007-9120-8","","","","","","","","SYSTEMATIC PARASITOLOGY","69","","201-209","","","EN","","Scientifique","","",""
"How diverse are arboreal oonopid assemblages? An estimate by means of canopy fogging.","Fannes, W.||De Bakker, D.||Loosveldt, K.||Jocqué, R.","","","","Biological collection and data management||Vertebrates","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","9th African Arachnological Colloquium","","","","","","EN","","Scientifique","","",""
"Les animaux dans les arts plastiques de lAfrique.","Bouttiaux, A.-M.","","","","Heritage studies","","","2008","Article scientifique non peer reviewed","no","","","","","","","","","","","","Tribal Art","n°19","","90-97","","","FR","","Scientifique","","",""
"Femmes objets en Côte d'Ivoire.","Bouttiaux, A.-M.","","Christiane Falgayrettes-Leveau","","Heritage studies","","Musée Dapper","2008","Partie douvrage non peer reviewed","no","9782915258240","","","","","","","","","","","Femmes","","","100-129","","","FR","","General public","","",""
"Comment tisser les couleurs et le sens. Afrique occidentale","Bouttiaux, A.-M.","","","","Heritage studies","","5Continents Editions","2008","Partie douvrage non peer reviewed","no","9788874394777","","","","","","","","","","","Costumes et textiles dAfrique des Berbères aux Zulu","","","","","","FR","","Scientifique","","",""
"L'identité inscrite et sublimée. Afrique orientale.","Bouttiaux, A.-M.","","","","Heritage studies","","5Continents Editions","2008","Partie douvrage non peer reviewed","no","9788874394777","","","","","","","","","","","Costumes et textiles dAfrique des Berbères aux Zulu","","","","","","FR","","Scientifique","","",""
"Des perles pour le dire. Afrique méridionale.","Bouttiaux, A.-M.","","","","Heritage studies","","5Continents Editions","2008","Partie douvrage non peer reviewed","no","9788874394777","","","","","","","","","","","Costumes et textiles dAfrique des Berbères aux Zulu","","","","","","FR","","Scientifique","","",""
"Wound reaction after bark harvesting: microscopic and macroscopic phenomena in 10 medicinal tree species (Benin)","Delvaux, C.||Beeckman, H.","","","","Wood biology","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","International Conference - Wood Matters - a celebration of the work of John Barnett - 29-30/5/2008","","","","","","EN","","Scientifique","","",""
"Vessels as an indicator of bark harvesting impact on the physiology of medicinal tree species","Delvaux, C.||Sinsin, B.||Van Damme, P.||Beeckman, H.","","","","Wood biology","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","International Conference - Sustainable Forest Management in Africa. African solutions to african problems in natural forest management, 3-7/11/2008","","","","","","EN","","Scientifique","","",""
" A new genus and species of pouched goblin spider (Oonopidae, Araneae) from West Africa ","Fannes, W.","","","","Vertebrates","<FONT size=3> </FONT>  <P align=justify>Oonopidae or goblin spiders are very small (usually less than 2 mm), six-eyed, haplogyne spiders that are particularly abundant and diverse in the tropics and subtropics. In this talk, the morphology and ultrastructure of a new genus, widespread in West Africa but exceedingly rare in museum collections, is described and discussed. The genus single constituent species can be distinghuished from other oonopids by its peculiar type of carapace microsculpture and posteriorly situated epigastric groove. Externally, females lack specialized epigastric structures. The male has an inward-curved embolus and a ventral pouch, a deep depression between the labium and sternum that accomodates the tips of both emboli. Similar features have been documented from several known genera of Oonopidae (e.g. Grymeus Harvey, 1987, Silhouettella Benoit, 1979) and also occur in many presently undescribed genera.<FONT size=3> </FONT>","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","24th European Congress of Arachnology","","","","","","EN","","Scientifique","","",""
"Influence of bark harvesting on xylem vessel density and size of 10 medicinal tree species (Benin)","Delvaux, C.||Beeckman, H.","","","","Wood biology","","","2008","Colloque et congrès scientifique","no","","","","","","","","","","","","International COST E50 Workshop - Wound reactions in trees and wood quality - 11-12/4/2008","","","7 p.","","","EN","","Scientifique","","","http://www.africamuseum.be/publication_docs/Claire Influence of bark harvesting.pdf::accessrights:public access"
"Des racines et des rêves. Se relier à sa mémoire et à son histoire","Baeke, B.||Bundjoko Banyata, H.||Tombu , Ch.","","","","Heritage studies","","","2009","Article scientifique non peer reviewed","no","","","","","","","","","","","","&CO Kids. Le magazine de la coopération belge en République Démocratique du congo","n°6","","10-15","","","FR","","Scientifique","","",""
